week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,cumulative_weeks_in_top_10
2021-08-01,TV (Non-English),2,"Newly Rich, Newly Poor","Newly Rich, Newly Poor: Season 1",16700000,5
2021-08-01,TV (Non-English),3,How to Sell Drugs Online (Fast),How to Sell Drugs Online (Fast): Season 3,16470000,1
2021-08-01,TV (Non-English),4,Sky Rojo,Sky Rojo: Season 2,15660000,2
2021-08-01,TV (Non-English),5,The Snitch Cartel: Origins,The Snitch Cartel: Origins: Season 1,15150000,1
2021-08-01,TV (Non-English),6,Too Hot to Handle: Brazil,Too Hot to Handle: Brazil: Season 1,14230000,2
2021-08-01,TV (Non-English),7,Carrossel,N/A,12730000,4
2021-08-01,TV (Non-English),8,"Nevertheless,","Nevertheless,: Season 1",7710000,3
2021-08-01,TV (Non-English),9,Chiquititas,N/A,7020000,1
2021-08-01,TV (Non-English),10,Elite,Elite: Season 4,6920000,5
2021-07-25,Films (English),1,Trollhunters: Rise of the Titans,N/A,16130000,1
2021-07-25,Films (English),2,The Last Letter From Your Lover,N/A,13140000,1
2021-07-25,Films (English),3,Fear Street Part 3: 1666,N/A,12350000,2
2021-07-25,Films (English),4,Twilight,N/A,12260000,2
2021-07-25,Films (English),5,The Twilight Saga: New Moon,N/A,10050000,1
2021-07-25,Films (English),6,Fear Street Part 1: 1994,N/A,9240000,4
2021-07-25,Films (English),7,Fear Street Part 2: 1978,N/A,9100000,3
2021-07-25,Films (English),8,The Twilight Saga: Eclipse,N/A,8960000,1
2021-07-25,Films (English),9,The Twilight Saga: Breaking Dawn: Part 2,N/A,8940000,1
2021-07-25,Films (English),10,The Twilight Saga: Breaking Dawn: Part 1,N/A,7990000,1
2021-07-25,Films (Non-English),1,Blood Red Sky,N/A,35930000,1
2021-07-25,Films (Non-English),2,Kingdom: Ashin of the North,N/A,16380000,1
2021-07-25,Films (Non-English),3,Chernobyl 1986,N/A,8250000,1
2021-07-25,Films (Non-English),4,A Perfect Fit,N/A,8000000,2
2021-07-25,Films (Non-English),5,Major Grom: Plague Doctor,N/A,7190000,3
2021-07-25,Films (Non-English),6,The Guide to the Perfect Family,N/A,4580000,2
2021-07-25,Films (Non-English),7,A Classic Horror Story,N/A,4060000,2
2021-07-25,Films (Non-English),8,Deep,N/A,3200000,1
2021-07-25,Films (Non-English),9,Tô Ryca,N/A,2930000,2
2021-07-25,Films (Non-English),10,Haseen Dillruba,N/A,2620000,4
2021-07-25,TV (English),1,Never Have I Ever,Never Have I Ever: Season 2,50190000,2
2021-07-25,TV (English),2,Virgin River,Virgin River: Season 3,44890000,3
2021-07-25,TV (English),3,Sex/Life,Sex/Life: Season 1,31200000,4
2021-07-25,TV (English),4,The Good Doctor,The Good Doctor: Season 1,25520000,2
2021-07-25,TV (English),5,Never Have I Ever,Never Have I Ever: Season 1,17400000,1
2021-07-25,TV (English),6,Manifest,Manifest: Season 1,16220000,4
2021-07-25,TV (English),7,Atypical,Atypical: Season 4,15920000,3
2021-07-25,TV (English),8,Heist,Heist: Season 1,15390000,2
2021-07-25,TV (English),9,Virgin River,Virgin River: Season 1,14360000,3
2021-07-25,TV (English),10,Virgin River,Virgin River: Season 2,13770000,2
2021-07-25,TV (Non-English),1,The Cook of Castamar,The Cook of Castamar: Season 1,36650000,3
2021-07-25,TV (Non-English),2,"Newly Rich, Newly Poor","Newly Rich, Newly Poor: Season 1",19070000,4
2021-07-25,TV (Non-English),3,Sky Rojo,Sky Rojo: Season 2,12980000,1
2021-07-25,TV (Non-English),4,Carrossel,N/A,12150000,3
2021-07-25,TV (Non-English),5,The War Next-door,The War Next-door: Season 1,9730000,3
2021-07-25,TV (Non-English),6,Too Hot to Handle: Brazil,Too Hot to Handle: Brazil: Season 1,9450000,1
2021-07-25,TV (Non-English),7,Elite,Elite: Season 4,9410000,4
2021-07-25,TV (Non-English),8,Hospital Playlist,Hospital Playlist: Season 2,8070000,2
2021-07-25,TV (Non-English),9,"Nevertheless,","Nevertheless,: Season 1",7880000,2
2021-07-25,TV (Non-English),10,Lupin,Lupin: Part 2,6840000,4
2021-07-18,Films (English),1,Fear Street Part 3: 1666,N/A,20080000,1
2021-07-18,Films (English),2,Fear Street Part 2: 1978,N/A,16820000,2
2021-07-18,Films (English),3,Fear Street Part 1: 1994,N/A,14370000,3
2021-07-18,Films (English),4,Gunpowder Milkshake,N/A,11770000,1
2021-07-18,Films (English),5,The Water Man,N/A,11630000,1
2021-07-18,Films (English),6,This Little Love Of Mine,N/A,8810000,2
2021-07-18,Films (English),7,Wish Dragon,N/A,8550000,3
2021-07-18,Films (English),8,Fatherhood,N/A,7790000,3
2021-07-18,Films (English),9,Twilight,N/A,7170000,1
2021-07-18,Films (English),10,Rust Creek,N/A,6560000,1
2021-07-18,Films (Non-English),1,Major Grom: Plague Doctor,N/A,21050000,2
2021-07-18,Films (Non-English),2,How I Became a Superhero,N/A,9860000,2
2021-07-18,Films (Non-English),3,A Classic Horror Story,N/A,9090000,1
2021-07-18,Films (Non-English),4,The Guide to the Perfect Family,N/A,5130000,1
2021-07-18,Films (Non-English),5,Haseen Dillruba,N/A,4430000,3
2021-07-18,Films (Non-English),6,A Perfect Fit,N/A,3170000,1
2021-07-18,Films (Non-English),7,Last Summer,N/A,2420000,2
2021-07-18,Films (Non-English),8,Tô Ryca,N/A,2210000,1
2021-07-18,Films (Non-English),9,The 8th Night,N/A,1860000,3
2021-07-18,Films (Non-English),10,Silver Skates,N/A,1780000,3
2021-07-18,TV (English),1,Virgin River,Virgin River: Season 3,87270000,2
2021-07-18,TV (English),2,Never Have I Ever,Never Have I Ever: Season 2,58380000,1
2021-07-18,TV (English),3,Sex/Life,Sex/Life: Season 1,45000000,3
2021-07-18,TV (English),4,Atypical,Atypical: Season 4,29680000,2
2021-07-18,TV (English),5,Manifest,Manifest: Season 1,21350000,3
2021-07-18,TV (English),6,Virgin River,Virgin River: Season 1,20080000,2
2021-07-18,TV (English),7,The Good Doctor,The Good Doctor: Season 1,18980000,1
2021-07-18,TV (English),8,Heist,Heist: Season 1,18710000,1
2021-07-18,TV (English),9,Virgin River,Virgin River: Season 2,17000000,1
2021-07-18,TV (English),10,Too Hot to Handle,Too Hot to Handle: Season 2,16110000,3
2021-07-18,TV (Non-English),1,The Cook of Castamar,The Cook of Castamar: Season 1,51570000,2
2021-07-18,TV (Non-English),2,"Newly Rich, Newly Poor","Newly Rich, Newly Poor: Season 1",21450000,3
2021-07-18,TV (Non-English),3,The War Next-door,The War Next-door: Season 1,14360000,2
2021-07-18,TV (Non-English),4,Elite,Elite: Season 4,14240000,3
2021-07-18,TV (Non-English),5,Elize Matsunaga: Once Upon a Crime,Elize Matsunaga: Once Upon a Crime: Season 1,12510000,2
2021-07-18,TV (Non-English),6,Carrossel,N/A,11620000,2
2021-07-18,TV (Non-English),7,Lupin,Lupin: Part 2,9280000,3
2021-07-18,TV (Non-English),8,Hospital Playlist,Hospital Playlist: Season 2,8530000,1
2021-07-18,TV (Non-English),9,"Nevertheless,","Nevertheless,: Season 1",8130000,1
2021-07-18,TV (Non-English),10,Biohackers,Biohackers: Season 2,7500000,1
2021-07-11,Films (English),1,Fear Street Part 1: 1994,N/A,19550000,2
2021-07-11,Films (English),2,Fear Street Part 2: 1978,N/A,16060000,1
2021-07-11,Films (English),3,Fatherhood,N/A,12830000,2
2021-07-11,Films (English),4,Warcraft,N/A,10990000,2
2021-07-11,Films (English),5,Wish Dragon,N/A,10590000,2
2021-07-11,Films (English),6,This Little Love Of Mine,N/A,9390000,1
2021-07-11,Films (English),7,Mother's Day,N/A,9200000,1
2021-07-11,Films (English),8,Kung Fu Panda 3,N/A,8860000,2
2021-07-11,Films (English),9,How to Train Your Dragon: The Hidden World,N/A,8860000,1
2021-07-11,Films (English),10,The Huntsman: Winter's War,N/A,7460000,1
2021-07-11,Films (Non-English),1,Major Grom: Plague Doctor,N/A,26150000,1
2021-07-11,Films (Non-English),2,Haseen Dillruba,N/A,10210000,2
2021-07-11,Films (Non-English),3,How I Became a Superhero,N/A,8820000,1
2021-07-11,Films (Non-English),4,The 8th Night,N/A,5960000,2
2021-07-11,Films (Non-English),5,Silver Skates,N/A,3110000,2
2021-07-11,Films (Non-English),6,Rurouni Kenshin: The Final,N/A,2570000,2
2021-07-11,Films (Non-English),7,Dynasty Warriors,N/A,2420000,2
2021-07-11,Films (Non-English),8,Xtreme,N/A,1710000,2
2021-07-11,Films (Non-English),9,O Candidato Honesto,N/A,1280000,1
2021-07-11,Films (Non-English),10,Last Summer,N/A,1270000,1
2021-07-11,TV (English),1,Sex/Life,Sex/Life: Season 1,69860000,2
2021-07-11,TV (English),2,Virgin River,Virgin River: Season 3,62580000,1
2021-07-11,TV (English),3,Too Hot to Handle,Too Hot to Handle: Season 2,33420000,2
2021-07-11,TV (English),4,Manifest,Manifest: Season 1,31940000,2
2021-07-11,TV (English),5,Pokémon Journeys: The Series,Pokémon Journeys: The Series: Season 1,21870000,2
2021-07-11,TV (English),6,Atypical,Atypical: Season 4,20620000,1
2021-07-11,TV (English),7,Manifest,Manifest: Season 2,20070000,2
2021-07-11,TV (English),8,Virgin River,Virgin River: Season 1,13590000,1
2021-07-11,TV (English),9,Lucifer,Lucifer: Season 5,13440000,2
2021-07-11,TV (English),10,Sweet Tooth,Sweet Tooth: Season 1,13100000,2
2021-07-11,TV (Non-English),1,"Newly Rich, Newly Poor","Newly Rich, Newly Poor: Season 1",24990000,2
2021-07-11,TV (Non-English),2,Elite,Elite: Season 4,21780000,2
2021-07-11,TV (Non-English),3,The Cook of Castamar,The Cook of Castamar: Season 1,16960000,1
2021-07-11,TV (Non-English),4,The War Next-door,The War Next-door: Season 1,13970000,1
2021-07-11,TV (Non-English),5,Lupin,Lupin: Part 2,13150000,2
2021-07-11,TV (Non-English),6,Elize Matsunaga: Once Upon a Crime,Elize Matsunaga: Once Upon a Crime: Season 1,11700000,1
2021-07-11,TV (Non-English),7,The Seven Deadly Sins,The Seven Deadly Sins: Dragon's Judgement,10110000,2
2021-07-11,TV (Non-English),8,Young Royals,Young Royals: Season 1,9820000,1
2021-07-11,TV (Non-English),9,Carrossel,N/A,9790000,1
2021-07-11,TV (Non-English),10,Somos.,Somos.: Season 1,9420000,2
2021-07-04,Films (English),1,Fatherhood,N/A,25680000,1
2021-07-04,Films (English),2,Fear Street Part 1: 1994,N/A,16620000,1
2021-07-04,Films (English),3,Wish Dragon,N/A,15260000,1
2021-07-04,Films (English),4,The Ice Road,N/A,13690000,1
2021-07-04,Films (English),5,Good on Paper,N/A,10580000,1
2021-07-04,Films (English),6,Kung Fu Panda 3,N/A,7690000,1
2021-07-04,Films (English),7,Warcraft,N/A,7650000,1
2021-07-04,Films (English),8,Fatale,N/A,6460000,1
2021-07-04,Films (English),9,Skylines,N/A,6130000,1
2021-07-04,Films (English),10,The Mitchells vs. The Machines,N/A,4890000,1
2021-07-04,Films (Non-English),1,Silver Skates,N/A,7390000,1
2021-07-04,Films (Non-English),2,Haseen Dillruba,N/A,7370000,1
2021-07-04,Films (Non-English),3,Rurouni Kenshin: The Final,N/A,5340000,1
2021-07-04,Films (Non-English),4,The 8th Night,N/A,4480000,1
2021-07-04,Films (Non-English),5,Dynasty Warriors,N/A,4100000,1
2021-07-04,Films (Non-English),6,Security,N/A,2950000,1
2021-07-04,Films (Non-English),7,Murder by the Coast,N/A,2690000,1
2021-07-04,Films (Non-English),8,Xtreme,N/A,2650000,1
2021-07-04,Films (Non-English),9,Rurouni Kenshin: Origins,N/A,2150000,1
2021-07-04,Films (Non-English),10,Prime Time,N/A,2080000,1
2021-07-04,TV (English),1,Sex/Life,Sex/Life: Season 1,86730000,1
2021-07-04,TV (English),2,Too Hot to Handle,Too Hot to Handle: Season 2,62150000,1
2021-07-04,TV (English),3,Manifest,Manifest: Season 1,36330000,1
2021-07-04,TV (English),4,Sweet Tooth,Sweet Tooth: Season 1,21350000,1
2021-07-04,TV (English),5,Manifest,Manifest: Season 2,21330000,1
2021-07-04,TV (English),6,Lucifer,Lucifer: Season 5,16890000,1
2021-07-04,TV (English),7,Pokémon Journeys: The Series,Pokémon Journeys: The Series: Season 1,15350000,1
2021-07-04,TV (English),8,Sophie: A Murder in West Cork,Sophie: A Murder in West Cork: Limited Series,12800000,1
2021-07-04,TV (English),9,CoComelon,CoComelon: Season 3,11430000,1
2021-07-04,TV (English),10,Lucifer,Lucifer: Season 3,9550000,1
2021-07-04,TV (Non-English),1,Elite,Elite: Season 4,38720000,1
2021-07-04,TV (Non-English),2,The Seven Deadly Sins,The Seven Deadly Sins: Dragon's Judgement,33240000,1
2021-07-04,TV (Non-English),3,"Newly Rich, Newly Poor","Newly Rich, Newly Poor: Season 1",28270000,1
2021-07-04,TV (Non-English),4,Lupin,Lupin: Part 2,20970000,1
2021-07-04,TV (Non-English),5,Somos.,Somos.: Season 1,11510000,1
2021-07-04,TV (Non-English),6,Elite,Elite: Season 1,10530000,1
2021-07-04,TV (Non-English),7,Elite,Elite: Season 3,10200000,1
2021-07-04,TV (Non-English),8,Elite,Elite: Season 2,10140000,1
2021-07-04,TV (Non-English),9,Katla,Katla: Season 1,9190000,1
2021-07-04,TV (Non-English),10,Record of Ragnarok,Record of Ragnarok: Season 1,9140000,1
